0.00,76.15
1.00,121.22
2.00,166.29
3.00,211.36
4.00,256.43
5.00,301.50
6.00,346.57
7.00,391.64
8.00,436.71
9.00,481.78
10.00,526.85
11.00,571.92
12.00,616.99
13.00,662.06
14.00,707.13
15.00,752.20
16.00,797.27
17.00,842.34
18.00,887.41
19.00,932.48
20.00,977.55
21.00,1022.62
22.00,1067.69
23.00,1112.76
24.00,1157.83
25.00,1202.90
26.00,1247.97
27.00,1293.04
28.00,1338.11
29.00,1383.18
30.00,1428.25
31.00,1473.32
32.00,1518.39
33.00,1563.46
34.00,1608.53
35.00,1653.60
36.00,1698.67
37.00,1743.74
38.00,1788.81
39.00,1833.88
40.00,1878.95
41.00,1924.02
42.00,1969.09
43.00,2014.16
44.00,2059.23
45.00,2104.30
46.00,2149.37
47.00,2194.44
48.00,2239.51
49.00,2284.58
50.00,2329.65
51.00,2374.72
52.00,2419.79
53.00,2464.86
54.00,2509.93
55.00,2555.00
56.00,2600.07
57.00,2645.14
58.00,2690.21
59.00,2735.28
60.00,2780.35
61.00,2825.42
62.00,2870.49
63.00,2915.56
64.00,2960.63
65.00,3005.70
66.00,3050.77
67.00,3095.84
68.00,3140.91
69.00,3185.98
70.00,3231.05
71.00,3276.12
72.00,3321.19
73.00,3366.26
74.00,3411.33
75.00,3456.40
76.00,3501.47
77.00,3546.54
78.00,3591.61
79.00,3636.68
80.00,3681.75
81.00,3726.82
82.00,3771.89
83.00,3816.96
84.00,3862.03
85.00,3907.10
86.00,3952.17
87.00,3997.24
88.00,4042.31
89.00,4087.38
90.00,4132.45
91.00,4177.52
92.00,4222.59
93.00,4267.66
94.00,4312.73
95.00,4357.80
96.00,4402.87
97.00,4447.94
98.00,4493.01
99.00,4538.08
