x,y
0,76.15
1,121.22
2,166.29
3,211.36
4,256.43
5,301.5
6,346.57
7,391.64
8,436.71
9,481.78
10,526.85
11,571.92
12,616.99
13,662.06
14,707.13
15,752.2
16,797.27
17,842.34
18,887.41
19,932.48
20,977.55
21,1022.62
22,1067.69
23,1112.76
24,1157.83
25,1202.9
26,1247.97
27,1293.04
28,1338.11
29,1383.18
30,1428.25
31,1473.32
32,1518.39
33,1563.46
34,1608.53
35,1653.6
36,1698.67
37,1743.74
38,1788.81
39,1833.88
40,1878.95
41,1924.02
42,1969.09
43,2014.16
44,2059.23
45,2104.3
46,2149.37
47,2194.44
48,2239.51
49,2284.58
50,2329.65
51,2374.72
52,2419.79
53,2464.86
54,2509.93
55,2555
56,2600.07
57,2645.14
58,2690.21
59,2735.28
60,2780.35
61,2825.42
62,2870.49
63,2915.56
64,2960.63
65,3005.7
66,3050.77
67,3095.84
68,3140.91
69,3185.98
70,3231.05
71,3276.12
72,3321.19
73,3366.26
74,3411.33
75,3456.4
76,3501.47
77,3546.54
78,3591.61
79,3636.68
80,3681.75
81,3726.82
82,3771.89
83,3816.96
84,3862.03
85,3907.1
86,3952.17
87,3997.24
88,4042.31
89,4087.38
90,4132.45
91,4177.52
92,4222.59
93,4267.66
94,4312.73
95,4357.8
96,4402.87
97,4447.94
98,4493.01
99,4538.08
